# id	left	top	right	bottom	texture_id
[SPRITES]
#bigbush(127*64)
199001	16	352	143	416	40
#small bush (17x17)
199005	159	400	175	416	40
#big big bush
199006	816	336	1008	400	40
#big big big bush
199007	816	336	1008	400	40

#double cloud (52x26)
199002	118	270	170	296	40
#single cloud (34x26)
199003	326	254	360	280	40
#triple cloud (66x26)
199004	727	303	792	328	40
#background obj:
#black back ground
199010	0	0	500	500	58
#goal_spike:
199011	508	177	595	337	64
#goal_roulete: (inform)
199012	50	370	200	420	64
#goal_item:
199013	258	350	273	365	64
199014	278	350	293	365	64
199015	298	350	313	365	64
#goal_item_received:
199016	257	373	272	389	64
199017	277	373	293	389	64
199018	297	373	313	389	64
#goal_item_collected:
199019	260	394	275	409	64
199020	282	394	298	409	64
199021	302	394	313	409	64
#goal_scene:
199022	4	4	250	172	64
#game over:
199023	5	7	131	69	65
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
