[SETTINGS]
start	3
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
0	intro.txt
5	scene0005.txt
1	scene01.txt
2	scene02.txt
3	scene03.txt
#4	scene04.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png
20	textures\misc.png
30	textures\PinkBox.png
40	textures\mariomap.png
50	textures\MARIO2.png
51	textures\MUSHROOMobj.png
52	textures\turtletexture.png
53	textures\planttexture.png
54	textures\shadowtexture.png
55	textures\MARIO3.png
56	textures\MARIO4.png
57	textures\MARIO4FLIP.png
58	textures\Black.png
59	textures\transparentpic.png
60	textures\worldmap.png
61	textures\worldmapbg.png
