# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
MarioFox.txt
backgroundobj.txt
pipe.txt
worldmap.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

15	250	250	199010

# MARIO
0	400	400
#plat form:
5	350	440	16	15	20	54001	54002	54003
15	250	250	199010

15	152	81	800031
#15	154	180	800032
15	152	81	800030
#river: 79 x 65
15	208	116	800033
15	224	76	800034

#backgroundobj:
28	48	13	950001
28	64	13	950001
28	80	13	950001
28	48	29	950001
28	64	29	950001
28	80	29	950001
#start:
#ngang 24, doc: 25, node 26, node left:27 , node top:28, left top node: 29
#start -> turn:
15	48	45	800024
15	64	45	800001
15	80	45	800024
15	96	45	800029
#turn -> 1
15	96	29	800025
15	96	13	800002
#1->2:
15	112	13	800024
15	128	13	800027
15	144	13	800024
15	224	13	800026
15	160	13	800003
#2->3:
15	176	13	800024
15	192	13	800004
15	208	13	800024
15	217	13	800024

#mushroom + vertical
15	224	29	800025
15	224	34	800025
15	224	45	800011

#mushroom -> 4 ->turn
15	208	45	800024
15	192	45	800004
15	176	45	800024
15	160	45	800028
15	160	29	800025

#turn -> spade:
15	160	61	800025
15	160	77	800008
#spade -> castle -> turn
15	144	77	800024
15	128	77	800009
15	112	77	800024
15	96	77	800026
#turn ->door:
15	96	61	800025
15	96	55	800010
#turn -> 5:
15	96	93	800025
15	96	109	800028
15	96	125	800025
15	96	141	800006
#turn_rock -> bridge:
15	112	109	800022
15	128	109	800011
15	144	109	800024
15	160	109	800027
15	176	109	800023
15	192	109	800027
#bridge->castle
15	208	109	800024
15	224	109	800015
15	224	93	800016
15	224	77	800017
#5->6:
15	112	141	800024
15	128	141	800027
15	144	141	800024
15	160	141	800027
15	160	141	800007
#6->bridge:
15	160	125	800025

#moving tree:
28	240	13	950001
28	256	13	950001

28	240	29	950001
28	256	29	950001

28	240	45	950001
28	256	45	950001

28	240	61	950001
28	256	61	950001
28	176	61	950001
28	192	61	950001
28	208	61	950001
28	224	61	950001

28	176	77	950001
28	192	77	950001
28	256	77	950001

28	256	93	950001
28	256	109	950001
28	256	125	950001
28	256	141	950001

#1-2-spade-door
28	112	29	950001
28	112	45	950001
28	112	61	950001

28	128	29	950001
28	128	45	950001
28	128	61	950001

28	144	29	950001
28	144	45	950001
28	144	61	950001

#left most under start:

28	48	61	950001
28	64	61	950001
28	80	61	950001

28	48	77	950001
28	64	77	950001
28	80	77	950001

28	48	93	950001

28	128	93	950001
28	144	93	950001
28	160	93	950001
#rocks:
15	64	109	800022
15	64	125	800022
15	80	125	800022
15	64	141	800022
15	80	141	800022
15	112	125	800022
15	128	125	800022

#nodes:(x, y, Left, Right, Top, Bot, id, isStage, renderid)
#			lef	rig	top	bot	stg
27	64	45	0	1	0	0	0
27	96	45	1	0	1	0	0


#1
27	96	13	0	1	0	1	1
#1.5:
27	128	13	1	1	0	0	0

#2
27	160	13	1	1	0	1	0
#3
27	192	13	1	1	0	0	1
#3.5
27	224	13	1	0	0	1	0
#mush:
27	224	45	1	0	1	0	1
#4:
27	192	45	1	1	0	0	1
#4.5..2.5:
27	160	45	0	1	1	1	0
#spade:
27	160	77	1	0	1	0	1
#castle:
27	128	77	1	1	0	0	1
#castle.5:
27	96	77	0	1	1	1	0
#door:
27	96	60	0	0	0	1	1
#castle.6:
27	96	109	0	1	1	1	0
#5:
27	96	141	0	1	1	0	1
#5.5:
27	128	141	1	1	0	0	0
#6:
27	160	141	1	0	1	0	1
#mush2:
27	128	109	0	1	0	0	1
#bridge:
27	160	109	1	1	0	1	0
#bridge.5:
27	192	109	1	1	0	0	0
#castle final:
27	224	109	1	0	0	0	1
# icon:
26	64	45
