# id	left	top	right	bottom	texture_id
[SPRITES]
#start node
800001	4	143	19	158	60
#1:
800002	21	143	36	158	60
#2:
800003	38	143	53	158	60
#3:
800004	55	143	70	158	60
#4
800005	72	143	87	158	60
#5:
800006	89	143	104	158	60
#6:
800007	106	143	121	158	60
#spade:
800008	140	160	155	175	60
#castle yellow:
800009	157	160	172	175	60
#door:
800010	4	177	19	192	60
#mushroom:
800011	21	177	36	192	60
#turtle:
800012	38	177	53	192	60
800013	55	177	70	192	60
800014	72	177	87	192	60
#castle
800015	89	177	104	192	60
800016	106	177	121	192	60
800017	123	177	138	192	60
#moving tree:
800018	4	310	19	325	60
800019	21	310	36	325	60
800020	38	310	53	325	60
800021	55	310	70	325	60
#rock
800022	72	310	87	325	60
#bridge
800023	89	310	104	325	60
#path tiles:
#horizon no node:
800024	4	227	19	242	60
#vertical no node:
800025	21	227	36	242	60
#single node:
800026	38	227	53	242	60
#left and node:
800027	55	227	70	242	60
#top and node:
800028	72	227	87	242	60
#left top and node
800029	89	227	104	242	60
#background: sand
800030	0	0	223	150	61
#frame:
800031	4	40	237	201	62
#HUD:
800032	12	246	241	271	63
#river:
800033	137	125	215	189	62
800034	170	110	215	124	62
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#moving tree:
950001	800018	100	800019	100	800020	100	800021	100
